X,Y,TOWN_NO,TOWN,TOTAL_SQMI,LAND_SQMI,WATER_SQMI,COUNTY,PLAN_ORG,DEP_DIST,COAST_AREA
-73.4256505768319,41.9860188845167,"122",Salisbury,60.50,57.60,2.90,Litchfield,Northwestern Conn,DEP Western District,
-73.2935685900945,42.0222642515168,"100",North Canaan,19.60,19.60,0.00,Litchfield,Northwestern Conn,DEP Western District,
-73.1962241920279,41.9801449565525,"98",Norfolk,46.70,45.60,1.10,Litchfield,Litchfield Hills,DEP Western District,
-73.0808105833225,42.0015458695464,"29",Colebrook,33.00,32.80,0.20,Litchfield,Litchfield Hills,DEP Western District,
-72.9488967294987,42.0042931274258,"65",Hartland,34.50,33.00,1.50,Hartford,Litchfield Hills,DEP Western District,
-72.8348515800958,41.9695454093472,"56",Granby,41.30,41.10,0.20,Hartford,Capitol Region,DEP Western District,
-72.6788512497815,41.9944863271393,"139",Suffield,43.10,42.40,0.70,Hartford,Capitol Region,DEP Western District,
-72.55471870029,41.9839789750923,"49",Enfield,33.80,32.90,0.90,Hartford,Capitol Region,DEP Eastern District,
-72.4530514231731,41.99487941931,"129",Somers,28.70,28.50,0.20,Tolland,Capitol Region,DEP Eastern District,
-72.3123280592977,41.9875205371605,"134",Stafford,60.80,60.40,0.40,Tolland,Non-Member,DEP Eastern District,
-72.1602643103736,41.9930248216721,"145",Union,29.90,29.20,0.70,Tolland,Non-Member,DEP Eastern District,
-72.0221320760756,41.9694334934481,"169",Woodstock,61.60,60.80,0.80,Windham,Northeastern Conn,DEP Eastern District,
-71.8735879746113,41.9797342500963,"141",Thompson,48.70,47.30,1.40,Windham,Northeastern Conn,DEP Eastern District,
-73.3100441944678,41.9598824529327,"21",Canaan,33.40,33.10,0.30,Litchfield,Northwestern Conn,DEP Western District,
-72.7411386474761,41.9424770075807,"40",East Granby,17.40,17.40,0.00,Hartford,Capitol Region,DEP Western District,
-72.9729552525149,41.9315839801224,"5",Barkhamsted,39.00,36.30,2.70,Litchfield,Litchfield Hills,DEP Western District,
-73.1028177055586,41.9218824606112,"162",Winchester,34.00,32.30,1.70,Litchfield,Litchfield Hills,DEP Western District,
-72.0919766524868,41.8915873961555,"39",Eastford,28.60,28.30,0.30,Windham,Northeastern Conn,DEP Eastern District,
-72.1709856255983,41.8911163608229,"3",Ashford,40.30,39.90,0.40,Windham,Windham,DEP Eastern District,
-72.2593699540284,41.8895360910517,"160",Willington,34.80,34.70,0.10,Tolland,Windham,DEP Eastern District,
-72.448494217229,41.9151388393704,"48",Ellington,34.80,34.30,0.50,Tolland,Capitol Region,DEP Eastern District,
-72.6548412614124,41.9267906193425,"165",Windsor Locks,9.20,8.90,0.30,Hartford,Capitol Region,DEP Western District,
-72.5673008159066,41.904929960402,"47",East Windsor,26.80,26.20,0.60,Hartford,Capitol Region,DEP Eastern District,
-71.8711989534025,41.9093194577146,"116",Putnam,20.10,20.10,0.00,Windham,Northeastern Conn,DEP Eastern District,
-72.3649354623998,41.8785788524061,"142",Tolland,40.40,39.70,0.70,Tolland,Capitol Region,DEP Eastern District,
-72.6736582647048,41.8712877408469,"164",Windsor,31.20,30.20,1.00,Hartford,Capitol Region,DEP Western District,
-73.4376171756981,41.8575043637978,"125",Sharon,60.30,59.80,0.50,Litchfield,Northwestern Conn,DEP Western District,
-72.9085434023694,41.8599346850351,"23",Canton,25.00,24.60,0.40,Hartford,Capitol Region,DEP Western District,
-72.8258076159662,41.8730021961107,"128",Simsbury,34.50,34.50,0.00,Hartford,Capitol Region,DEP Western District,
-73.3298339680571,41.8474896133564,"31",Cornwall,46.80,46.40,0.40,Litchfield,Northwestern Conn,DEP Western District,
-71.983430263771,41.8670441017185,"112",Pomfret,40.60,40.60,0.00,Windham,Northeastern Conn,DEP Eastern District,
-73.2335576516127,41.8500986021862,"55",Goshen,45.60,44.70,0.90,Litchfield,Litchfield Hills,DEP Western District,
-71.8499656152834,41.8310257690048,"69",Killingly,50.00,49.00,1.00,Windham,Northeastern Conn,DEP Eastern District,
-72.7407377939004,41.8426291646744,"11",Bloomfield,26.40,26.30,0.10,Hartford,Capitol Region,DEP Western District,
-73.0055296300638,41.8442271147423,"92",New Hartford,38.30,37.20,1.10,Litchfield,Litchfield Hills,DEP Western District,
-73.128075803883,41.8349402852756,"143",Torrington,40.00,39.60,0.40,Litchfield,Litchfield Hills,DEP Western District,
-72.4607471462613,41.8364150246266,"146",Vernon,18.60,18.30,0.30,Tolland,Capitol Region,DEP Eastern District,
-72.5734404755258,41.8352178682275,"132",South Windsor,28.50,28.00,0.50,Hartford,Capitol Region,DEP Eastern District,
-72.3394056080777,41.7829154810501,"32",Coventry,37.30,36.60,0.70,Tolland,Windham,DEP Eastern District,
-72.2287318574139,41.7892053936863,"78",Mansfield,45.20,45.10,0.10,Tolland,Windham,DEP Eastern District,
-72.1277306749492,41.7930498572278,"24",Chaplin,19.80,19.80,0.00,Windham,Windham,DEP Eastern District,
-72.058305704605,41.7841829089636,"63",Hampton,25.30,25.20,0.10,Windham,Windham,DEP Eastern District,
-71.9545082407126,41.7869824497122,"19",Brooklyn,28.70,28.70,0.00,Windham,Northeastern Conn,DEP Eastern District,
-72.8540158383504,41.790697032807,"4",Avon,23.50,23.50,0.00,Hartford,Capitol Region,DEP Western District,
-72.5242263078394,41.7752467245319,"77",Manchester,27.20,26.90,0.30,Hartford,Capitol Region,DEP Eastern District,
-72.9590844223388,41.7598706719247,"20",Burlington,30.60,30.00,0.60,Hartford,Central Connecticut,DEP Western District,
-72.6834270445884,41.7660045597751,"64",Hartford,18.40,17.20,1.20,Hartford,Capitol Region,DEP Western District,
-72.439087792347,41.7664018841129,"12",Bolton,15.50,15.20,0.30,Tolland,Capitol Region,DEP Eastern District,
-72.7538722699359,41.7669492878176,"155",West Hartford,22.20,21.90,0.30,Hartford,Capitol Region,DEP Western District,
-72.6152853024233,41.7634611616181,"43",East Hartford,18.10,18.10,0.00,Hartford,Capitol Region,DEP Eastern District,
-73.0582653297907,41.7550048175454,"66",Harwinton,31.40,31.30,0.10,Litchfield,Litchfield Hills,DEP Western District,
-73.1931458075758,41.7413071978242,"74",Litchfield,57.30,56.70,0.60,Litchfield,Litchfield Hills,DEP Western District,
-73.4539777298338,41.7299002649182,"68",Kent,49.50,49.00,0.50,Litchfield,Northwestern Conn,DEP Western District,
-73.3448784981874,41.7405468280571,"149",Warren,28.00,27.40,0.60,Litchfield,Northwestern Conn,DEP Western District,
-71.8184870093514,41.7024224859657,"136",Sterling,27.20,27.20,0.00,Windham,Northeastern Conn,DEP Eastern District,
